2020-08-13 03:14:23,600 - PyTorch version 1.4.0 available.
2020-08-13 03:57:50,231 - 	Val.  Loss: 1.496 | Val.  micro-f1: 55.43% | Val.  mAP: 58.10%
2020-08-13 03:58:22,584 - Epoch: 03 | Epoch Time: 0m 32s
2020-08-13 03:58:22,585 - 	Train Loss: 1.365 | Train micro-f1: 58.10% | Train mAP: 58.66%
2020-08-13 03:58:22,585 - 	Val.  Loss: 1.451 | Val.  micro-f1: 57.68% | Val.  mAP: 60.66%
2020-08-13 03:58:55,144 - Epoch: 04 | Epoch Time: 0m 32s
2020-08-13 03:58:55,145 - 	Train Loss: 1.275 | Train micro-f1: 60.57% | Train mAP: 60.29%
2020-08-13 03:58:55,145 - 	Val.  Loss: 1.326 | Val.  micro-f1: 59.84% | Val.  mAP: 61.92%
2020-08-13 03:59:27,686 - Epoch: 05 | Epoch Time: 0m 32s
2020-08-13 03:59:27,686 - 	Train Loss: 1.235 | Train micro-f1: 61.57% | Train mAP: 61.79%
2020-08-13 03:59:27,686 - 	Val.  Loss: 1.397 | Val.  micro-f1: 59.11% | Val.  mAP: 62.93%
2020-08-13 03:59:57,325 - Epoch: 06 | Epoch Time: 0m 29s
2020-08-13 03:59:57,325 - 	Train Loss: 1.147 | Train micro-f1: 64.18% | Train mAP: 63.45%
2020-08-13 03:59:57,325 - 	Val.  Loss: 1.430 | Val.  micro-f1: 56.96% | Val.  mAP: 61.73%
2020-08-13 04:00:19,875 - Epoch: 07 | Epoch Time: 0m 22s
2020-08-13 04:00:19,875 - 	Train Loss: 1.108 | Train micro-f1: 65.22% | Train mAP: 64.46%
2020-08-13 04:00:19,875 - 	Val.  Loss: 1.362 | Val.  micro-f1: 60.12% | Val.  mAP: 62.24%
2020-08-13 04:00:42,717 - Epoch: 08 | Epoch Time: 0m 22s
2020-08-13 04:00:42,718 - 	Train Loss: 1.047 | Train micro-f1: 67.02% | Train mAP: 65.69%
2020-08-13 04:00:42,718 - 	Val.  Loss: 1.373 | Val.  micro-f1: 59.83% | Val.  mAP: 62.33%
2020-08-13 04:01:06,479 - Epoch: 09 | Epoch Time: 0m 23s
2020-08-13 04:01:06,479 - 	Train Loss: 0.987 | Train micro-f1: 68.81% | Train mAP: 66.91%
2020-08-13 04:01:06,479 - 	Val.  Loss: 1.326 | Val.  micro-f1: 61.81% | Val.  mAP: 64.14%
2020-08-13 04:01:34,372 - Epoch: 10 | Epoch Time: 0m 27s
2020-08-13 04:01:34,372 - 	Train Loss: 0.933 | Train micro-f1: 70.29% | Train mAP: 68.18%
2020-08-13 04:01:34,372 - 	Val.  Loss: 1.333 | Val.  micro-f1: 60.73% | Val.  mAP: 63.97%
2020-08-13 04:02:07,102 - Epoch: 11 | Epoch Time: 0m 32s
2020-08-13 04:02:07,102 - 	Train Loss: 0.899 | Train micro-f1: 71.74% | Train mAP: 69.25%
2020-08-13 04:02:07,102 - 	Val.  Loss: 1.413 | Val.  micro-f1: 59.89% | Val.  mAP: 63.21%
2020-08-13 04:02:39,110 - Epoch: 12 | Epoch Time: 0m 32s
2020-08-13 04:02:39,110 - 	Train Loss: 0.840 | Train micro-f1: 73.41% | Train mAP: 70.03%
2020-08-13 04:02:39,110 - 	Val.  Loss: 1.341 | Val.  micro-f1: 60.27% | Val.  mAP: 63.86%
2020-08-13 04:03:11,617 - Epoch: 13 | Epoch Time: 0m 32s
2020-08-13 04:03:11,618 - 	Train Loss: 0.777 | Train micro-f1: 75.44% | Train mAP: 71.17%
2020-08-13 04:03:11,618 - 	Val.  Loss: 1.398 | Val.  micro-f1: 59.77% | Val.  mAP: 63.92%
2020-08-13 04:03:43,986 - Epoch: 14 | Epoch Time: 0m 32s
2020-08-13 04:03:43,986 - 	Train Loss: 0.746 | Train micro-f1: 76.37% | Train mAP: 72.33%
2020-08-13 04:03:43,986 - 	Val.  Loss: 1.419 | Val.  micro-f1: 59.56% | Val.  mAP: 62.73%
2020-08-13 04:04:16,245 - Epoch: 15 | Epoch Time: 0m 32s
2020-08-13 04:04:16,245 - 	Train Loss: 0.701 | Train micro-f1: 77.91% | Train mAP: 73.47%
2020-08-13 04:04:16,245 - 	Val.  Loss: 1.452 | Val.  micro-f1: 59.52% | Val.  mAP: 64.42%
2020-08-13 04:04:48,185 - Epoch: 16 | Epoch Time: 0m 31s
2020-08-13 04:04:48,185 - 	Train Loss: 0.642 | Train micro-f1: 79.63% | Train mAP: 74.92%
2020-08-13 04:04:48,185 - 	Val.  Loss: 1.532 | Val.  micro-f1: 59.05% | Val.  mAP: 62.97%
2020-08-13 04:05:15,552 - Epoch: 17 | Epoch Time: 0m 27s
2020-08-13 04:05:15,552 - 	Train Loss: 0.591 | Train micro-f1: 81.32% | Train mAP: 75.77%
2020-08-13 04:05:15,552 - 	Val.  Loss: 1.545 | Val.  micro-f1: 59.55% | Val.  mAP: 63.30%
2020-08-13 04:05:47,898 - Epoch: 18 | Epoch Time: 0m 32s
2020-08-13 04:05:47,898 - 	Train Loss: 0.553 | Train micro-f1: 82.48% | Train mAP: 76.41%
2020-08-13 04:05:47,898 - 	Val.  Loss: 1.617 | Val.  micro-f1: 58.12% | Val.  mAP: 63.21%
2020-08-13 04:06:20,423 - Epoch: 19 | Epoch Time: 0m 32s
2020-08-13 04:06:20,423 - 	Train Loss: 0.527 | Train micro-f1: 83.16% | Train mAP: 77.55%
2020-08-13 04:06:20,423 - 	Val.  Loss: 1.590 | Val.  micro-f1: 58.12% | Val.  mAP: 62.72%
2020-08-13 04:06:52,607 - Epoch: 20 | Epoch Time: 0m 32s
2020-08-13 04:06:52,607 - 	Train Loss: 0.496 | Train micro-f1: 84.19% | Train mAP: 78.63%
2020-08-13 04:06:52,607 - 	Val.  Loss: 1.685 | Val.  micro-f1: 57.50% | Val.  mAP: 62.03%
2020-08-13 04:06:59,413 - ***************Test Set Result***************
2020-08-13 04:06:59,413 - 	Val.  Loss: 1.380 | Val.  micro-f1: 57.84% | Val.  mAP: 61.65%
2020-08-13 04:06:59,413 - *********************************************
